Input | IR Sensor Values                    | Predicted                                          | Actual                                            
1136  | 0,0,0,1,225,5,0                     | f3                                                 | f3                                                
1137  | 0,0,18,33,1,0,0                     | e3                                                 | e3                                                
1138  | 0,0,214,746,0,0,0                   | e3                                                 | e3                                                
1139  | 0,0,84,103,60,10,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
1140  | 0,0,18,6,2,0,0                      | e3                                                 | e3                                                
1141  | 0,0,1,6,33,4,0                      | f2, f3                                             | f2, f3                                            
1142  | 0,0,0,5,13,9,0                      | f2                                                 | f2                                                
1143  | 0,0,0,0,223,6,0                     | f3                                                 | f3                                                
1144  | 0,0,0,0,1,0,0                       |                                                    | b1                                                
1145  | 0,0,4,2,16,4,1                      | f2                                                 | f2                                                
1146  | 0,0,0,0,224,1,0                     | f3                                                 | f3                                                
1147  | 2,11,12,19,11,3,2                   | c2, g3                                             | c2                                                
1148  | 0,1,0,1,0,0,0                       |                                                    | b1                                                
1149  | 0,0,0,0,226,0,0                     | f3                                                 | f3                                                
